iter	Passed	Remaining
0	1	1153
1	2	1023
2	2	987
3	4	1005
4	4	869
5	5	882
6	6	892
7	7	892
8	8	884
9	8	833
10	9	835
11	10	837
12	10	833
13	11	830
14	12	834
15	13	833
16	14	834
17	15	830
18	16	828
19	16	812
20	17	811
21	18	809
22	19	811
23	20	832
24	21	831
25	22	830
26	23	829
27	23	826
28	24	825
29	25	823
30	26	823
31	27	821
32	27	818
33	28	816
34	29	807
35	30	806
36	30	805
37	31	805
38	32	805
39	33	804
40	34	802
41	35	806
42	36	811
43	37	812
44	38	814
45	39	813
46	40	813
47	41	813
48	41	813
49	42	812
50	43	811
51	44	809
52	45	807
53	46	807
54	46	806
55	47	804
56	48	804
57	49	802
58	50	802
59	51	804
60	52	805
61	53	805
62	54	804
63	54	803
64	55	802
65	56	801
66	57	800
67	58	799
68	59	797
69	59	796
70	60	795
71	61	794
72	62	793
73	63	792
74	64	791
75	65	790
76	65	789
77	66	790
78	68	794
79	69	793
80	69	793
81	70	793
82	71	792
83	72	792
84	73	791
85	74	791
86	75	792
87	76	792
88	77	791
89	78	791
90	79	790
91	80	790
92	81	790
93	81	789
94	83	791
95	84	791
96	84	789
97	85	788
98	86	786
99	87	784
100	88	783
101	88	781
102	89	779
103	90	778
104	91	777
105	91	775
106	92	769
107	92	767
108	93	765
109	94	764
110	95	763
111	96	762
112	96	761
113	97	759
114	98	760
115	99	760
116	100	759
117	101	757
118	102	756
119	103	755
120	103	754
121	104	753
122	105	751
123	106	750
124	107	749
125	107	748
126	108	747
127	109	745
128	110	745
129	111	743
130	111	742
131	112	741
132	113	740
133	114	739
134	115	739
135	116	738
136	117	738
137	118	737
138	118	736
139	119	735
140	120	735
141	121	735
142	122	733
143	123	732
144	124	731
145	124	730
146	125	729
147	126	728
148	127	727
149	128	726
150	128	724
151	129	724
152	130	723
153	131	723
154	132	723
155	133	723
156	134	722
157	135	722
158	136	721
159	137	721
160	138	720
161	139	719
162	139	718
163	140	718
164	141	717
165	142	716
166	143	716
167	144	715
168	145	714
169	146	714
170	147	714
171	148	713
172	149	713
173	149	711
174	150	710
175	151	709
176	152	708
177	153	706
178	153	705
179	154	704
180	155	703
181	156	702
182	157	701
183	157	699
184	158	698
185	159	697
186	160	696
187	160	695
188	161	694
189	163	696
190	164	696
191	165	695
192	165	693
193	166	692
194	167	691
195	168	690
196	169	689
197	169	688
198	170	687
199	171	686
200	172	685
201	173	683
202	173	682
203	174	681
204	175	680
205	176	679
206	177	678
207	178	677
208	179	678
209	180	677
210	181	677
211	182	676
